"","rules","support","confidence","lift","count","average"
"773","{HP Laptop} => {iMac}",0.127335047129392,0.42676622630672,1.132930359645,743,0.834812340674249
"774","{iMac} => {HP Laptop}",0.127335047129392,0.33803457688808,1.132930359645,743,0.664590567894809
"741","{ViewSonic Monitor} => {HP Laptop}",0.078834618680377,0.464177598385469,1.55570148568594,460,0.603002890174418
"1444","{Acer Aspire,iMac,ViewSonic Monitor} => {HP Laptop}",0.0104541559554413,0.66304347826087,2.22220487975426,61,0.601575543604471
"3","{HP Black & Tri-color Ink} => {ViewSonic Monitor}",0.0111396743787489,0.464285714285714,2.73371053769641,65,0.555779291220988
"1445","{Acer Aspire,HP Laptop,iMac} => {ViewSonic Monitor}",0.0104541559554413,0.462121212121212,2.7209659664251,61,0.535354474347943
"771","{Lenovo Desktop Computer} => {iMac}",0.099057412167952,0.435568952524491,1.15629883438599,578,0.531893572124522
"1452","{Acer Desktop,iMac,ViewSonic Monitor} => {HP Laptop}",0.0107969151670951,0.636363636363636,2.13278679964493,63,0.497220029667903
"743","{ViewSonic Monitor} => {iMac}",0.0815766923736075,0.480322906155399,1.27510653203674,476,0.486846339582562
"1143","{Acer Aspire,ViewSonic Monitor} => {HP Laptop}",0.0181662382176521,0.609195402298851,2.04173186238587,106,0.474063353972271
"234","{Laptops} => {Desktop}",0.54070265638389,0.787962037962038,1.00805930530772,3155,1.15725633530675
"235","{Desktop} => {Laptops}",0.54070265638389,0.691734268800702,1.00805930530772,3155,1.04289923393169
"232","{Monitors} => {Desktop}",0.432733504712939,0.786849485821128,1.00663598986325,2525,0.855582092102098
"230","{Monitors} => {Laptops}",0.379777206512425,0.690557806170147,1.00634485489581,2216,0.594108568114402
"233","{Desktop} => {Monitors}",0.432733504712939,0.553606665204999,1.00663598986325,2525,0.578396274383686
"1489","{Laptops,Monitors} => {Desktop}",0.307626392459297,0.810018050541516,1.03627610719354,1795,0.556237561078527
"228","{Computer Mice} => {Desktop}",0.290488431876607,0.782187355791417,1.00067161171737,1695,0.451575696187561
"222","{Keyboard} => {Desktop}",0.275578406169666,0.801595214356929,1.02550056473858,1608,0.450077935208767
"1490","{Desktop,Monitors} => {Laptops}",0.307626392459297,0.710891089108911,1.03597639983779,1795,0.438232482129877
"231","{Laptops} => {Monitors}",0.379777206512425,0.553446553446553,1.00634485489581,2216,0.43116552616271
"1","{CYBERPOWER Gamer Desktop} => {Apple Earpods}",0.01425,0.167647058823529,1.33317740615133,57,NA
"2","{Apple Earpods} => {CYBERPOWER Gamer Desktop}",0.01425,0.113320079522863,1.33317740615133,57,NA
"33","{Monitors} => {Desktop}",0.05375,0.327245053272451,1.14521453463675,215,1.91315647026765
"34","{Desktop} => {Monitors}",0.05375,0.188101487314086,1.14521453463675,215,1.36733544402508
"4","{Accessories} => {Desktop}",0.017,0.356020942408377,1.24591755873448,68,1.19772573142814
"23","{Computer Mice} => {Desktop}",0.03825,0.287593984962406,1.00645314072583,153,1.11788993031112
"15","{Keyboard} => {Desktop}",0.03625,0.285996055226824,1.00086108565818,145,1.04880343298085
"8","{Mouse and Keyboard Combo} => {Laptops}",0.02275,0.320422535211268,1.02371417000405,91,0.856916874372192
"29","{Active Headphones} => {Desktop}",0.03625,0.244932432432432,0.857156368967393,145,0.657481263779
"27","{Active Headphones} => {Laptops}",0.03625,0.244932432432432,0.782531733010966,145,0.537918999634953
"24","{Desktop} => {Computer Mice}",0.03825,0.133858267716535,1.00645314072583,153,0.514828003736755
"16","{Desktop} => {Keyboard}",0.03625,0.126859142607174,1.00086108565818,145,0.424554137938904
